以赛亚书 23
1 论泰尔的默示：他施的船只都要哀号；因为泰尔变为荒场，甚至没有房屋，没有可进之路。这消息是从基提地得来的。
2 沿海的居民，就是素来靠航海西顿的商家得丰盛的，你们当静默无言。
3 在大水之上，西曷的粮食、尼罗河的庄稼是泰尔的进项；她作列国的大码头。
4 西顿哪，你当惭愧；因为大海说，就是海中的保障说：我没有劬劳，也没有生产，没有养育男子，也没有抚养童女。
5 这风声传到埃及；埃及人为泰尔的风声极其疼痛。
6 泰尔人哪，你们当过到他施去；沿海的居民哪，你们都当哀号。
7 这是你们欢乐的城，从上古而有的吗？其中的居民往远方寄居。
8 泰尔本是赐冠冕的。她的商家是王子；她的买卖人是世上的尊贵人。遭遇如此是谁定的呢？
9 是万军之耶和华所定的！为要污辱一切高傲的荣耀，使地上一切的尊贵人被藐视。
10 他施的民（原文是女）哪，可以流行你的地，好像尼罗河；不再有腰带拘紧你。
11 耶和华已经向海伸手，震动列国。至于迦南，他已经吩咐拆毁其中的保障。
12 他又说：受欺压西顿的居民（原文是处女）哪，你必不得再欢乐。起来！过到基提去；就是在那里也不得安歇。
13 （看哪，迦勒底人之地向来没有这民，这国是亚述人为住旷野的人所立的。现在他们建筑戍楼，拆毁泰尔的宫殿，使她成为荒凉。）
14 他施的船只都要哀号，因为你们的保障变为荒场。
15 到那时，泰尔必被忘记七十年，照着一王的年日。七十年后，泰尔的景况必像妓女所唱的歌：
16 你这被忘记的妓女啊，拿琴周流城内，巧弹多唱，使人再想念你。
17 七十年后，耶和华必眷顾泰尔，她就仍得利息（原文是雇价；下同），与地上的万国交易（原文是行淫）。
18 她的货财和利息要归耶和华为圣，必不积攒存留；因为她的货财必为住在耶和华面前的人所得，使他们吃饱，穿耐久的衣服。
