使徒行传 26
1 亚基帕对保罗说：「准你为自己辩明。」于是保罗伸手分诉，说：
2 「亚基帕王啊，犹太人所告我的一切事，今日得在你面前分诉，实为万幸；
3 更可幸的，是你熟悉犹太人的规矩和他们的辩论；所以求你耐心听我。
4 我从起初在本国的民中，并在耶路撒冷，自幼为人如何，犹太人都知道。
5 他们若肯作见证就晓得，我从起初是按着我们教中最严紧的教门作了法利赛人。
6 现在我站在这里受审，是因为指望神向我们祖宗所应许的；
7 这应许，我们十二个支派，昼夜切切地事奉神，都指望得着。王啊，我被犹太人控告，就是因这指望。
8 神叫死人复活，你们为甚么看作不可信的呢？
9 从前我自己以为应当多方攻击拿撒勒人耶稣的名，
10 我在耶路撒冷也曾这样行了。既从祭司长得了权柄，我就把许多圣徒囚在监里。他们被杀，我也出名定案。
11 在各会堂，我屡次用刑强逼他们说亵渎的话，又分外恼恨他们，甚至追逼他们，直到外邦的城邑。」
12 「那时，我领了祭司长的权柄和命令，往大马士革去。
13 王啊，我在路上，晌午的时候，看见从天发光，比日头还亮，四面照着我并与我同行的人。
14 我们都仆倒在地，我就听见有声音用希伯来话向我说：『扫罗！扫罗！为甚么逼迫我？你用脚踢刺是难的！』
15 我说：『主啊，你是谁？』主说：『我就是你所逼迫的耶稣。
16 你起来站着，我特意向你显现，要派你作执事，作见证，将你所看见的事和我将要指示你的事证明出来。
17 我也要救你脱离百姓和外邦人的手。
18 我差你到他们那里去，要叫他们的眼睛得开，从黑暗中归向光明，从撒但权下归向神；又因信我，得蒙赦罪，和一切成圣的人同得基业。』」
19 「亚基帕王啊，我故此没有违背那从天上来的异象；
20 先在大马士革，后在耶路撒冷和犹太全地，以及外邦，劝勉他们应当悔改归向神，行事与悔改的心相称。
21 因此，犹太人在殿里拿住我，想要杀我。
22 然而我蒙神的帮助，直到今日还站得住，对着尊贵、卑贱、老幼作见证；所讲的并不外乎众先知和摩西所说将来必成的事，
23 就是基督必须受害，并且因从死里复活，要首先把光明的道传给百姓和外邦人。」
24 保罗这样分诉，非斯都大声说：「保罗，你癫狂了吧。你的学问太大，反叫你癫狂了！」
25 保罗说：「非斯都大人，我不是癫狂，我说的乃是真实明白话。
26 王也晓得这些事，所以我向王放胆直言，我深信这些事没有一件向王隐藏的，因都不是在背地里做的。
27 亚基帕王啊，你信先知吗？我知道你是信的。」
28 亚基帕对保罗说：「你想少微一劝，便叫我作基督徒啊（或译：你这样劝我，几乎叫我作基督徒了）！」
29 保罗说：「无论是少劝是多劝，我向神所求的，不但你一个人，就是今天一切听我的，都要像我一样，只是不要像我有这些锁链。」
30 于是，王和巡抚并百尼基与同坐的人都起来，
31 退到里面，彼此谈论说：「这人并没有犯甚么该死该绑的罪。」
32 亚基帕又对非斯都说：「这人若没有上告于该撒，就可以释放了。」
